Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
165.0_ ,0.0_ ,143.6_ ,163.8_ ,0.0_ ,1005.6_ ,900.9_ ,56_ ,36.56_ 
165.0_ ,128.5_ ,132.1_ ,175.1_ ,8.1_ ,1005.8_ ,746.6_ ,56_ ,53.72_ 
178.0_ ,129.8_ ,118.6_ ,179.9_ ,3.6_ ,1007.3_ ,746.8_ ,56_ ,48.59_ 
167.3_ ,129.9_ ,128.6_ ,175.5_ ,7.8_ ,1006.3_ ,746.6_ ,56_ ,51.72_ 
172.4_ ,13.6_ ,172.4_ ,156.8_ ,4.1_ ,1006.3_ ,856.4_ ,56_ ,35.85_ 
173.5_ ,50.0_ ,173.5_ ,164.8_ ,6.5_ ,1006.2_ ,793.5_ ,56_ ,53.77_ 
167.0_ ,75.4_ ,167.0_ ,164.0_ ,7.9_ ,1007.3_ ,770.1_ ,56_ ,53.46_ 
173.8_ ,93.4_ ,159.9_ ,172.3_ ,9.7_ ,1007.2_ ,746.6_ ,56_ ,48.99_ 
190.3_ ,0.0_ ,125.2_ ,166.6_ ,9.9_ ,1079.0_ ,798.9_ ,56_ ,31.72_ 
250.0_ ,0.0_ ,95.7_ ,191.8_ ,5.3_ ,948.9_ ,857.2_ ,56_ ,39.64_ 
213.5_ ,0.0_ ,174.2_ ,159.2_ ,11.7_ ,1043.6_ ,771.9_ ,56_ ,51.26_ 
194.7_ ,0.0_ ,100.5_ ,170.2_ ,7.5_ ,998.0_ ,901.8_ ,56_ ,43.39_ 
251.4_ ,0.0_ ,118.3_ ,192.9_ ,5.8_ ,1043.6_ ,754.3_ ,56_ ,39.27_ 
165.0_ ,0.0_ ,143.6_ ,163.8_ ,0.0_ ,1005.6_ ,900.9_ ,100_ ,37.96_ 
165.0_ ,128.5_ ,132.1_ ,175.1_ ,8.1_ ,1005.8_ ,746.6_ ,100_ ,55.02_ 
178.0_ ,129.8_ ,118.6_ ,179.9_ ,3.6_ ,1007.3_ ,746.8_ ,100_ ,49.99_ 
167.3_ ,129.9_ ,128.6_ ,175.5_ ,7.8_ ,1006.3_ ,746.6_ ,100_ ,53.66_ 
172.4_ ,13.6_ ,172.4_ ,156.8_ ,4.1_ ,1006.3_ ,856.4_ ,100_ ,37.68_ 
173.5_ ,50.0_ ,173.5_ ,164.8_ ,6.5_ ,1006.2_ ,793.5_ ,100_ ,56.06_ 
167.0_ ,75.4_ ,167.0_ ,164.0_ ,7.9_ ,1007.3_ ,770.1_ ,100_ ,56.81_ 
173.8_ ,93.4_ ,159.9_ ,172.3_ ,9.7_ ,1007.2_ ,746.6_ ,100_ ,50.94_ 
190.3_ ,0.0_ ,125.2_ ,166.6_ ,9.9_ ,1079.0_ ,798.9_ ,100_ ,33.56_ 
250.0_ ,0.0_ ,95.7_ ,191.8_ ,5.3_ ,948.9_ ,857.2_ ,100_ ,41.16_ 
213.5_ ,0.0_ ,174.2_ ,159.2_ ,11.7_ ,1043.6_ ,771.9_ ,100_ ,52.96_ 
194.7_ ,0.0_ ,100.5_ ,170.2_ ,7.5_ ,998.0_ ,901.8_ ,100_ ,44.28_ 
251.4_ ,0.0_ ,118.3_ ,192.9_ ,5.8_ ,1043.6_ ,754.3_ ,100_ ,40.15_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,28_ ,57.03_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,28_ ,44.42_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,28_ ,51.02_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,10.3_ ,967.0_ ,712.0_ ,28_ ,53.39_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,3_ ,35.36_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,3_ ,25.02_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,3_ ,23.35_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,7_ ,52.01_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,7_ ,38.02_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,7_ ,39.30_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,56_ ,61.07_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,56_ ,56.14_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,11.6_ ,967.0_ ,712.0_ ,56_ ,55.25_ 
446.0_ ,24.0_ ,79.0_ ,162.0_ ,10.3_ ,967.0_ ,712.0_ ,56_ ,54.77_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,14.3_ ,938.0_ ,845.0_ ,28_ ,50.24_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,13.9_ ,938.0_ ,845.0_ ,28_ ,46.68_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,11.6_ ,938.0_ ,845.0_ ,28_ ,46.68_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,14.3_ ,938.0_ ,845.0_ ,3_ ,22.75_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,13.9_ ,938.0_ ,845.0_ ,3_ ,25.51_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,11.6_ ,938.0_ ,845.0_ ,3_ ,34.77_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,14.3_ ,938.0_ ,845.0_ ,7_ ,36.84_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,13.9_ ,938.0_ ,845.0_ ,7_ ,45.90_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,11.6_ ,938.0_ ,845.0_ ,7_ ,41.67_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,14.3_ ,938.0_ ,845.0_ ,56_ ,56.34_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,13.9_ ,938.0_ ,845.0_ ,56_ ,47.97_ 
387.0_ ,20.0_ ,94.0_ ,157.0_ ,11.6_ ,938.0_ ,845.0_ ,56_ ,61.46_ 
355.0_ ,19.0_ ,97.0_ ,145.0_ ,13.1_ ,967.0_ ,871.0_ ,28_ ,44.03_ 
355.0_ ,19.0_ ,97.0_ ,145.0_ ,12.2_ ,967.0_ ,871.0_ ,28_ ,55.45_ 
491.0_ ,26.0_ ,123.0_ ,210.0_ ,3.9_ ,882.0_ ,699.0_ ,28_ ,55.55_ 
491.0_ ,26.0_ ,123.0_ ,201.0_ ,3.9_ ,822.0_ ,699.0_ ,28_ ,57.92_ 
491.0_ ,26.0_ ,123.0_ ,210.0_ ,3.9_ ,882.0_ ,699.0_ ,3_ ,25.61_ 
491.0_ ,26.0_ ,123.0_ ,210.0_ ,3.9_ ,882.0_ ,699.0_ ,7_ ,33.49_ 
491.0_ ,26.0_ ,123.0_ ,210.0_ ,3.9_ ,882.0_ ,699.0_ ,56_ ,59.59_ 
491.0_ ,26.0_ ,123.0_ ,201.0_ ,3.9_ ,822.0_ ,699.0_ ,3_ ,29.55_ 
491.0_ ,26.0_ ,123.0_ ,201.0_ ,3.9_ ,822.0_ ,699.0_ ,7_ ,37.92_ 
491.0_ ,26.0_ ,123.0_ ,201.0_ ,3.9_ ,822.0_ ,699.0_ ,56_ ,61.86_ 
424.0_ ,22.0_ ,132.0_ ,178.0_ ,8.5_ ,822.0_ ,750.0_ ,28_ ,62.05_ 
424.0_ ,22.0_ ,132.0_ ,178.0_ ,8.5_ ,882.0_ ,750.0_ ,3_ ,32.01_ 
424.0_ ,22.0_ ,132.0_ ,168.0_ ,8.9_ ,822.0_ ,750.0_ ,28_ ,72.10_ 
424.0_ ,22.0_ ,132.0_ ,178.0_ ,8.5_ ,822.0_ ,750.0_ ,7_ ,39.00_ 
424.0_ ,22.0_ ,132.0_ ,178.0_ ,8.5_ ,822.0_ ,750.0_ ,56_ ,65.70_ 
424.0_ ,22.0_ ,132.0_ ,168.0_ ,8.9_ ,822.0_ ,750.0_ ,3_ ,32.11_ 
424.0_ ,22.0_ ,132.0_ ,168.0_ ,8.9_ ,822.0_ ,750.0_ ,7_ ,40.29_ 
424.0_ ,22.0_ ,132.0_ ,168.0_ ,8.9_ ,822.0_ ,750.0_ ,56_ ,74.36_ 
202.0_ ,11.0_ ,141.0_ ,206.0_ ,1.7_ ,942.0_ ,801.0_ ,28_ ,21.97_ 
202.0_ ,11.0_ ,141.0_ ,206.0_ ,1.7_ ,942.0_ ,801.0_ ,3_ ,9.85_ 
202.0_ ,11.0_ ,141.0_ ,206.0_ ,1.7_ ,942.0_ ,801.0_ ,7_ ,15.07_ 
202.0_ ,11.0_ ,141.0_ ,206.0_ ,1.7_ ,942.0_ ,801.0_ ,56_ ,23.25_ 
284.0_ ,15.0_ ,141.0_ ,179.0_ ,5.5_ ,842.0_ ,801.0_ ,28_ ,43.73_ 
284.0_ ,15.0_ ,141.0_ ,179.0_ ,5.5_ ,842.0_ ,801.0_ ,3_ ,13.40_ 
284.0_ ,15.0_ ,141.0_ ,179.0_ ,5.5_ ,842.0_ ,801.0_ ,7_ ,24.13_ 
284.0_ ,15.0_ ,141.0_ ,179.0_ ,5.5_ ,842.0_ ,801.0_ ,56_ ,44.52_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,28_ ,62.94_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,28_ ,59.49_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,3_ ,25.12_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,3_ ,23.64_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,7_ ,35.75_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,7_ ,38.61_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,56_ ,68.75_ 
359.0_ ,19.0_ ,141.0_ ,154.0_ ,10.9_ ,942.0_ ,801.0_ ,56_ ,66.78_ 
436.0_ ,0.0_ ,0.0_ ,218.0_ ,0.0_ ,838.4_ ,719.7_ ,28_ ,23.85_ 
289.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,913.2_ ,895.3_ ,90_ ,32.07_ 
289.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,913.2_ ,895.3_ ,3_ ,11.65_ 
393.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,940.6_ ,785.6_ ,3_ ,19.20_ 
393.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,940.6_ ,785.6_ ,90_ ,48.85_ 
393.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,940.6_ ,785.6_ ,28_ ,39.60_ 
480.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,936.2_ ,712.2_ ,28_ ,43.94_ 
480.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,936.2_ ,712.2_ ,7_ ,34.57_ 
480.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,936.2_ ,712.2_ ,90_ ,54.32_ 
480.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,936.2_ ,712.2_ ,3_ ,24.40_ 
333.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,931.2_ ,842.6_ ,3_ ,15.62_ 
255.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,889.8_ ,945.0_ ,90_ ,21.86_ 
255.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,889.8_ ,945.0_ ,7_ ,10.22_ 
289.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,913.2_ ,895.3_ ,7_ ,14.60_ 
255.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,889.8_ ,945.0_ ,28_ ,18.75_ 
333.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,931.2_ ,842.6_ ,28_ ,31.97_ 
333.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,931.2_ ,842.6_ ,7_ ,23.40_ 
289.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,913.2_ ,895.3_ ,28_ ,25.57_ 
333.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,931.2_ ,842.6_ ,90_ ,41.68_ 
393.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,940.6_ ,785.6_ ,7_ ,27.74_ 
255.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,889.8_ ,945.0_ ,3_ ,8.20_ 
158.8_ ,238.2_ ,0.0_ ,185.7_ ,0.0_ ,1040.6_ ,734.3_ ,7_ ,9.62_ 
239.6_ ,359.4_ ,0.0_ ,185.7_ ,0.0_ ,941.6_ ,664.3_ ,7_ ,25.42_ 
238.2_ ,158.8_ ,0.0_ ,185.7_ ,0.0_ ,1040.6_ ,734.3_ ,7_ ,15.69_ 
181.9_ ,272.8_ ,0.0_ ,185.7_ ,0.0_ ,1012.4_ ,714.3_ ,28_ ,27.94_ 
193.5_ ,290.2_ ,0.0_ ,185.7_ ,0.0_ ,998.2_ ,704.3_ ,28_ ,32.63_ 
255.5_ ,170.3_ ,0.0_ ,185.7_ ,0.0_ ,1026.6_ ,724.3_ ,7_ ,17.24_ 
272.8_ ,181.9_ ,0.0_ ,185.7_ ,0.0_ ,1012.4_ ,714.3_ ,7_ ,19.77_ 
239.6_ ,359.4_ ,0.0_ ,185.7_ ,0.0_ ,941.6_ ,664.3_ ,28_ ,39.44_ 
220.8_ ,147.2_ ,0.0_ ,185.7_ ,0.0_ ,1055.0_ ,744.3_ ,28_ ,25.75_ 
397.0_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1040.6_ ,734.3_ ,28_ ,33.08_ 
382.5_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1047.8_ ,739.3_ ,7_ ,24.07_ 
210.7_ ,316.1_ ,0.0_ ,185.7_ ,0.0_ ,977.0_ ,689.3_ ,7_ ,21.82_ 
158.8_ ,238.2_ ,0.0_ ,185.7_ ,0.0_ ,1040.6_ ,734.3_ ,28_ ,21.07_ 
295.8_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1091.4_ ,769.3_ ,7_ ,14.84_ 
255.5_ ,170.3_ ,0.0_ ,185.7_ ,0.0_ ,1026.6_ ,724.3_ ,28_ ,32.05_ 
203.5_ ,135.7_ ,0.0_ ,185.7_ ,0.0_ ,1076.2_ ,759.3_ ,7_ ,11.96_ 
397.0_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1040.6_ ,734.3_ ,7_ ,25.45_ 
381.4_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1104.6_ ,784.3_ ,28_ ,22.49_ 
295.8_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1091.4_ ,769.3_ ,28_ ,25.22_ 
228.0_ ,342.1_ ,0.0_ ,185.7_ ,0.0_ ,955.8_ ,674.3_ ,28_ ,39.70_ 
220.8_ ,147.2_ ,0.0_ ,185.7_ ,0.0_ ,1055.0_ ,744.3_ ,7_ ,13.09_ 
316.1_ ,210.7_ ,0.0_ ,185.7_ ,0.0_ ,977.0_ ,689.3_ ,28_ ,38.70_ 
135.7_ ,203.5_ ,0.0_ ,185.7_ ,0.0_ ,1076.2_ ,759.3_ ,7_ ,7.51_ 
238.1_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1118.8_ ,789.3_ ,28_ ,17.58_ 
339.2_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1069.2_ ,754.3_ ,7_ ,21.18_ 
135.7_ ,203.5_ ,0.0_ ,185.7_ ,0.0_ ,1076.2_ ,759.3_ ,28_ ,18.20_ 
193.5_ ,290.2_ ,0.0_ ,185.7_ ,0.0_ ,998.2_ ,704.3_ ,7_ ,17.20_ 
203.5_ ,135.7_ ,0.0_ ,185.7_ ,0.0_ ,1076.2_ ,759.3_ ,28_ ,22.63_ 
290.2_ ,193.5_ ,0.0_ ,185.7_ ,0.0_ ,998.2_ ,704.3_ ,7_ ,21.86_ 
181.9_ ,272.8_ ,0.0_ ,185.7_ ,0.0_ ,1012.4_ ,714.3_ ,7_ ,12.37_ 
170.3_ ,155.5_ ,0.0_ ,185.7_ ,0.0_ ,1026.6_ ,724.3_ ,28_ ,25.73_ 
210.7_ ,316.1_ ,0.0_ ,185.7_ ,0.0_ ,977.0_ ,689.3_ ,28_ ,37.81_ 
228.0_ ,342.1_ ,0.0_ ,185.7_ ,0.0_ ,955.8_ ,674.3_ ,7_ ,21.92_ 
290.2_ ,193.5_ ,0.0_ ,185.7_ ,0.0_ ,998.2_ ,704.3_ ,28_ ,33.04_ 
381.4_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1104.6_ ,784.3_ ,7_ ,14.54_ 
238.2_ ,158.8_ ,0.0_ ,185.7_ ,0.0_ ,1040.6_ ,734.3_ ,28_ ,26.91_ 
186.2_ ,124.1_ ,0.0_ ,185.7_ ,0.0_ ,1083.4_ ,764.3_ ,7_ ,8.00_ 
339.2_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1069.2_ ,754.3_ ,28_ ,31.90_ 
238.1_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1118.8_ ,789.3_ ,7_ ,10.34_ 
252.5_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1111.6_ ,784.3_ ,28_ ,19.77_ 
382.5_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1047.8_ ,739.3_ ,28_ ,37.44_ 
252.5_ ,0.0_ ,0.0_ ,185.7_ ,0.0_ ,1111.6_ ,784.3_ ,7_ ,11.48_ 
316.1_ ,210.7_ ,0.0_ ,185.7_ ,0.0_ ,977.0_ ,689.3_ ,7_ ,24.44_ 
186.2_ ,124.1_ ,0.0_ ,185.7_ ,0.0_ ,1083.4_ ,764.3_ ,28_ ,17.60_ 
170.3_ ,155.5_ ,0.0_ ,185.7_ ,0.0_ ,1026.6_ ,724.3_ ,7_ ,10.73_ 
272.8_ ,181.9_ ,0.0_ ,185.7_ ,0.0_ ,1012.4_ ,714.3_ ,28_ ,31.38_ 
339.0_ ,0.0_ ,0.0_ ,197.0_ ,0.0_ ,968.0_ ,781.0_ ,3_ ,13.22_ 
339.0_ ,0.0_ ,0.0_ ,197.0_ ,0.0_ ,968.0_ ,781.0_ ,7_ ,20.97_ 
339.0_ ,0.0_ ,0.0_ ,197.0_ ,0.0_ ,968.0_ ,781.0_ ,14_ ,27.04_ 
339.0_ ,0.0_ ,0.0_ ,197.0_ ,0.0_ ,968.0_ ,781.0_ ,28_ ,32.04_ 
339.0_ ,0.0_ ,0.0_ ,197.0_ ,0.0_ ,968.0_ ,781.0_ ,90_ ,35.17_ 
339.0_ ,0.0_ ,0.0_ ,197.0_ ,0.0_ ,968.0_ ,781.0_ ,180_ ,36.45_ 
339.0_ ,0.0_ ,0.0_ ,197.0_ ,0.0_ ,968.0_ ,781.0_ ,365_ ,38.89_ 
236.0_ ,0.0_ ,0.0_ ,194.0_ ,0.0_ ,968.0_ ,885.0_ ,3_ ,6.47_ 
236.0_ ,0.0_ ,0.0_ ,194.0_ ,0.0_ ,968.0_ ,885.0_ ,14_ ,12.84_ 
236.0_ ,0.0_ ,0.0_ ,194.0_ ,0.0_ ,968.0_ ,885.0_ ,28_ ,18.42_ 
236.0_ ,0.0_ ,0.0_ ,194.0_ ,0.0_ ,968.0_ ,885.0_ ,90_ ,21.95_ 
236.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,885.0_ ,180_ ,24.10_ 
236.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,885.0_ ,365_ ,25.08_ 
277.0_ ,0.0_ ,0.0_ ,191.0_ ,0.0_ ,968.0_ ,856.0_ ,14_ ,21.26_ 
277.0_ ,0.0_ ,0.0_ ,191.0_ ,0.0_ ,968.0_ ,856.0_ ,28_ ,25.97_ 
277.0_ ,0.0_ ,0.0_ ,191.0_ ,0.0_ ,968.0_ ,856.0_ ,3_ ,11.36_ 
277.0_ ,0.0_ ,0.0_ ,191.0_ ,0.0_ ,968.0_ ,856.0_ ,90_ ,31.25_ 
277.0_ ,0.0_ ,0.0_ ,191.0_ ,0.0_ ,968.0_ ,856.0_ ,180_ ,32.33_ 
277.0_ ,0.0_ ,0.0_ ,191.0_ ,0.0_ ,968.0_ ,856.0_ ,360_ ,33.70_ 
254.0_ ,0.0_ ,0.0_ ,198.0_ ,0.0_ ,968.0_ ,863.0_ ,3_ ,9.31_ 
254.0_ ,0.0_ ,0.0_ ,198.0_ ,0.0_ ,968.0_ ,863.0_ ,90_ ,26.94_ 
254.0_ ,0.0_ ,0.0_ ,198.0_ ,0.0_ ,968.0_ ,863.0_ ,180_ ,27.63_ 
254.0_ ,0.0_ ,0.0_ ,198.0_ ,0.0_ ,968.0_ ,863.0_ ,365_ ,29.79_ 
307.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,812.0_ ,180_ ,34.49_ 
307.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,812.0_ ,365_ ,36.15_ 
307.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,812.0_ ,3_ ,12.54_ 
307.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,812.0_ ,28_ ,27.53_ 
307.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,812.0_ ,90_ ,32.92_ 
236.0_ ,0.0_ ,0.0_ ,193.0_ ,0.0_ ,968.0_ ,885.0_ ,7_ ,9.99_ 
200.0_ ,0.0_ ,0.0_ ,180.0_ ,0.0_ ,1125.0_ ,845.0_ ,7_ ,7.84_ 
200.0_ ,0.0_ ,0.0_ ,180.0_ ,0.0_ ,1125.0_ ,845.0_ ,28_ ,12.25_ 
225.0_ ,0.0_ ,0.0_ ,181.0_ ,0.0_ ,1113.0_ ,833.0_ ,7_ ,11.17_ 
225.0_ ,0.0_ ,0.0_ ,181.0_ ,0.0_ ,1113.0_ ,833.0_ ,28_ ,17.34_ 
325.0_ ,0.0_ ,0.0_ ,184.0_ ,0.0_ ,1063.0_ ,783.0_ ,7_ ,17.54_ 
325.0_ ,0.0_ ,0.0_ ,184.0_ ,0.0_ ,1063.0_ ,783.0_ ,28_ ,30.57_ 
275.0_ ,0.0_ ,0.0_ ,183.0_ ,0.0_ ,1088.0_ ,808.0_ ,7_ ,14.20_ 
275.0_ ,0.0_ ,0.0_ ,183.0_ ,0.0_ ,1088.0_ ,808.0_ ,28_ ,24.50_ 
300.0_ ,0.0_ ,0.0_ ,184.0_ ,0.0_ ,1075.0_ ,795.0_ ,7_ ,15.58_ 
300.0_ ,0.0_ ,0.0_ ,184.0_ ,0.0_ ,1075.0_ ,795.0_ ,28_ ,26.85_ 
375.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1038.0_ ,758.0_ ,7_ ,26.06_ 
375.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1038.0_ ,758.0_ ,28_ ,38.21_ 
400.0_ ,0.0_ ,0.0_ ,187.0_ ,0.0_ ,1025.0_ ,745.0_ ,28_ ,43.70_ 
400.0_ ,0.0_ ,0.0_ ,187.0_ ,0.0_ ,1025.0_ ,745.0_ ,7_ ,30.14_ 
250.0_ ,0.0_ ,0.0_ ,182.0_ ,0.0_ ,1100.0_ ,820.0_ ,7_ ,12.73_ 
250.0_ ,0.0_ ,0.0_ ,182.0_ ,0.0_ ,1100.0_ ,820.0_ ,28_ ,20.87_ 
350.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1050.0_ ,770.0_ ,7_ ,20.28_ 
350.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1050.0_ ,770.0_ ,28_ ,34.29_ 
203.5_ ,305.3_ ,0.0_ ,203.5_ ,0.0_ ,963.4_ ,630.0_ ,7_ ,19.54_ 
250.2_ ,166.8_ ,0.0_ ,203.5_ ,0.0_ ,977.6_ ,694.1_ ,90_ ,47.71_ 
157.0_ ,236.0_ ,0.0_ ,192.0_ ,0.0_ ,935.4_ ,781.2_ ,90_ ,43.38_ 
141.3_ ,212.0_ ,0.0_ ,203.5_ ,0.0_ ,971.8_ ,748.5_ ,28_ ,29.89_ 
166.8_ ,250.2_ ,0.0_ ,203.5_ ,0.0_ ,975.6_ ,692.6_ ,3_ ,6.90_ 
122.6_ ,183.9_ ,0.0_ ,203.5_ ,0.0_ ,958.2_ ,800.1_ ,90_ ,33.19_ 
183.9_ ,122.6_ ,0.0_ ,203.5_ ,0.0_ ,959.2_ ,800.0_ ,3_ ,4.90_ 
102.0_ ,153.0_ ,0.0_ ,192.0_ ,0.0_ ,887.0_ ,942.0_ ,3_ ,4.57_ 
102.0_ ,153.0_ ,0.0_ ,192.0_ ,0.0_ ,887.0_ ,942.0_ ,90_ ,25.46_ 
122.6_ ,183.9_ ,0.0_ ,203.5_ ,0.0_ ,958.2_ ,800.1_ ,28_ ,24.29_ 
166.8_ ,250.2_ ,0.0_ ,203.5_ ,0.0_ ,975.6_ ,692.6_ ,28_ ,33.95_ 
200.0_ ,133.0_ ,0.0_ ,192.0_ ,0.0_ ,965.4_ ,806.2_ ,3_ ,11.41_ 
108.3_ ,162.4_ ,0.0_ ,203.5_ ,0.0_ ,938.2_ ,849.0_ ,28_ ,20.59_ 
305.3_ ,203.5_ ,0.0_ ,203.5_ ,0.0_ ,965.4_ ,631.0_ ,7_ ,25.89_ 
108.3_ ,162.4_ ,0.0_ ,203.5_ ,0.0_ ,938.2_ ,849.0_ ,90_ ,29.23_ 
116.0_ ,173.0_ ,0.0_ ,192.0_ ,0.0_ ,909.8_ ,891.9_ ,90_ ,31.02_ 
141.3_ ,212.0_ ,0.0_ ,203.5_ ,0.0_ ,971.8_ ,748.5_ ,7_ ,10.39_ 
157.0_ ,236.0_ ,0.0_ ,192.0_ ,0.0_ ,935.4_ ,781.2_ ,28_ ,33.66_ 
133.0_ ,200.0_ ,0.0_ ,192.0_ ,0.0_ ,927.4_ ,839.2_ ,28_ ,27.87_ 
250.2_ ,166.8_ ,0.0_ ,203.5_ ,0.0_ ,977.6_ ,694.1_ ,7_ ,19.35_ 
173.0_ ,116.0_ ,0.0_ ,192.0_ ,0.0_ ,946.8_ ,856.8_ ,7_ ,11.39_ 
192.0_ ,288.0_ ,0.0_ ,192.0_ ,0.0_ ,929.8_ ,716.1_ ,3_ ,12.79_ 
192.0_ ,288.0_ ,0.0_ ,192.0_ ,0.0_ ,929.8_ ,716.1_ ,28_ ,39.32_ 
153.0_ ,102.0_ ,0.0_ ,192.0_ ,0.0_ ,888.0_ ,943.1_ ,3_ ,4.78_ 
288.0_ ,192.0_ ,0.0_ ,192.0_ ,0.0_ ,932.0_ ,717.8_ ,3_ ,16.11_ 
